what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.ui",1376533934179
started,bundle,org.eclipse.mylyn.context.core,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.context.core",1376533934179
started,bundle,org.eclipse.mylyn.context.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.context.ui",1376533934179
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.monitor.ui",1376533934179
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.tasks.ui",1376533934179
started,bundle,org.eclipse.mylyn.team.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.team.ui",1376533934179
started,bundle,org.eclipse.team.core,3.5.0.I20090527-0620,"org.eclipse.team.core",1376533934179
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1376533934179
started,bundle,org.eclipse.team.cvs.ui,3.3.200.I20090521-1750,"org.eclipse.team.cvs.ui",1376533934179
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1376533934179
started,bundle,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui",1376533934194
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1376533934194
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1376533934194
started,bundle,org.eclipse.ui.forms,3.4.0.v20090526,"org.eclipse.ui.forms",1376533934194
started,bundle,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.ide",1376533934194
started,bundle,org.eclipse.ui.net,1.2.0.I20090430-0408,"org.eclipse.ui.net",1376533934194
started,bundle,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views",1376533934194
started,bundle,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"org.eclipse.ui.workbench",1376533934194
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1376533934194
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1376533934194
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1376533934194
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1376533934194
started,bundle,edu.cs.uwm.compre,1.0.0,"edu.cs.uwm.compre",1376533934194
os,sysinfo,,,"win32",1376533934194
arch,sysinfo,,,"x86",1376533934194
