what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.mylyn.java.tasks,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.java.tasks",1376534812746
stopped,bundle,org.eclipse.mylyn.java.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.java.ui",1376534812749
stopped,bundle,org.eclipse.jdt.junit,3.5.0.v20090526-2000,"org.eclipse.jdt.junit",1376534812751
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090528-1135,"org.eclipse.jdt.apt.ui",1376534812753
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.0.v20090527,"org.eclipse.jdt.debug.ui",1376534812753
stopped,bundle,edu.cs.uwm.compre,1.0.0,"edu.cs.uwm.compre",1376534812753
stopped,bundle,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui",1376534812757
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1376534812757
stopped,bundle,org.eclipse.mylyn.ide.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.ide.ui",1376534812760
stopped,bundle,org.eclipse.mylyn.team.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.team.ui",1376534812760
stopped,bundle,org.eclipse.mylyn.resources.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.resources.ui",1376534812760
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.1.0.v20090617-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1376534812764
stopped,bundle,org.eclipse.mylyn.context.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.context.ui",1376534812765
stopped,bundle,org.eclipse.mylyn.help.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.help.ui",1376534812767
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.tasks.bugs",1376534812768
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.tasks.ui",1376534812768
